ID,Angle,Ra[hh],Ra[mm],Ra[ss],Dec[deg],Dec[mm],Dec[ss],Ra[deg],Dec[deg],X,Y,x[west],x[east],azimuth_start_at_kiso,elevation_start_at_kiso,range_start_at_kiso,azimuth_end_at_kiso,elevation_end_at_kiso,range_end_at_kiso,az_telescope,alt_telescope,exposure_starting_time_tomoe,az_meteor,el_meteor
576013_041,135.5,9,59,40.2491,-7,54,58.70399999999999,149.91770459999998,-7.916306667000001,196,108,110.0,260.0,234.28739199999998,32.428996999999995,202910.7462,234.428375,29.977078999999996,212385.9846,232.2,27.26,2018-04-18T14:08:58.608107,235.3858567666493,28.80712252884464
576022_041,135.0,9,56,0.2479,-8,50,9.35,149.0010329,-8.835930556000001,329,198,264.0,384.0,234.28739199999998,32.428996999999995,202910.7462,234.428375,29.977078999999996,212385.9846,232.2,27.26,2018-04-18T14:08:58.608107,235.38435173936472,27.455846523083082
576031_041,135.5,9,52,26.8671,-9,43,10.888,148.11194630000003,-9.719691111,486,262,475.0,494.0,234.28739199999998,32.428996999999995,202910.7462,234.428375,29.977078999999996,212385.9846,232.2,27.26,2018-04-18T14:08:58.608107,235.35533470787811,26.124489013338028
576712_067,90.5,10,6,25.3092,-8,51,30.474,151.605455,-8.858464999999999,241,214,40.0,460.0,231.614375,29.128346999999998,198551.4462,233.79748500000002,27.463575,192366.1972,232.4,27.09,2018-04-18T14:16:31.608080,234.79462669998176,27.929258589553065
576722_067,90.5,10,2,9.9806,-8,52,10.624,150.5415858,-8.869617778,264,224,70.0,470.0,231.614375,29.128346999999998,198551.4462,233.79748500000002,27.463575,192366.1972,232.4,27.09,2018-04-18T14:16:31.608080,235.67387835499477,27.220395992986028
577044_018,83.0,9,59,39.0618,-7,18,12.385,149.9127575,-7.303440277999999,199,265,106.0,291.0,232.036833,29.919964,198980.3513,234.558346,28.461021000000002,194754.9957,231.7,27.59,2018-04-18T14:19:52.029440,237.635435695848,26.955388300832105
577044_019,83.5,9,58,45.0645,-7,16,25.784000000000002,149.68776880000001,-7.273828889,30,244,14.0,61.0,232.036833,29.919964,198980.3513,234.558346,28.461021000000002,194754.9957,231.7,27.59,2018-04-18T14:19:52.029440,237.81642484585143,26.80109538254521
577414_032,68.0,10,19,23.6648,-7,14,13.145999999999999,154.8486033,-7.236985000000001,229,203,76.0,339.0,231.69061800000003,28.410624,201751.6097,235.03653599999998,27.166288,198852.5364,231.3,27.93,2018-04-18T14:24:15.956909,234.4565239692782,29.537006459176716
577414_032,68.0,10,19,23.6648,-7,14,13.145999999999999,154.8486033,-7.236985000000001,229,203,76.0,339.0,231.468125,30.150716999999997,202712.9148,235.29016099999998,29.012353000000004,204604.8743,231.3,27.93,2018-04-18T14:24:15.956909,234.4565239692782,29.537006459176716
577523_013,5.5,10,14,44.8609,-7,58,41.729,153.68692040000002,-7.9782580560000005,178,159,166.0,188.0,232.260735,27.783882000000002,200694.2086,233.74361000000002,26.994412,199305.1345,231.5,27.76,2018-04-18T14:25:18.847515,235.65789714726026,28.589623120732593
